OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
"10643","1969",CA,CDF,TCU,HIGHWAY 4,"00000000",1969/06/29 00:00:00,,"14",,,408.265472412109,,"1","00000053",5383.78126408187,1652191.69787295
"10644","1969",CA,CDF,NEU,IOWA HILL,"00000000",1969/08/09 00:00:00,,"14",,,464.405914306641,,"1","00000301",6197.1772300933,1879384.02658108
"10645","1969",CA,CDF,TCU,KISTLER,"00000000",1969/10/03 00:00:00,,"14",,,657.395263671875,,"1","00000055",7703.76256385128,2660384.28876807
"10646","1969",CA,CDF,SCU,PINTO CANYON,"00000000",1969/09/03 00:00:00,,"14",,,464.775939941406,,"1","00000011",6328.48723091866,1880881.52433556
"10647","1969",CA,CDF,TCU,RED HILLS,"00000000",1969/10/05 00:00:00,,"14",,,232.246490478516,,"1","00000205",3866.87824978601,939868.190823611
"10648","1969",CA,CDF,BTU,RENO,"00000000",1969/09/01 00:00:00,,"14",,,640.789733886719,,"1","00000013",8734.81480631826,2593184.06187595
"10649","1969",CA,CDF,TUU,BALD MOUNTAIN,"00000000",1969/10/03 00:00:00,,"14",,,242.222518920898,,"1","00000110",4610.06118545526,980239.769607556
"10650","1969",CA,CDF,SLU,BIDART,"00000000",1969/08/04 00:00:00,,"14",,,483.816162109375,,"1","00000181",6051.66633142937,1957934.51762534
"10651","1969",CA,CDF,MMU,LIGHTNING #36,"00000000",1969/09/07 00:00:00,,"14",,,4662.0068359375,,"1","00000142",27701.4895004545,18866472.1402909
"10652","1969",CA,CDF,TUU,TEAPOT DOME HILL,"00000000",1969/06/27 00:00:00,,"14",,,275.325988769531,,"1","00000069",4115.84942682437,1114204.72283916
"10653","1969",CA,CDF,MVU,HONEY #12,"00000000",1969/09/05 00:00:00,,"14",,,216.910980224609,,"1","00000401",4140.44219685806,877807.564378532
"10654","1969",CA,CDF,MVU,MOTHER MIGUEL,"00000000",1969/11/28 00:00:00,,"14",,,305.156494140625,,"1","00000601",4931.32549855413,1234924.48000944
"10655","1969",CA,CDF,MVU,TELEGRAPH,"00000000",1969/08/22 00:00:00,,"14",,,370.780731201172,,"1","00000364",4714.42891298902,1500496.41736669
"10656","1969",CA,CDF,BEU,WILKINSON,"00000000",1969/09/01 00:00:00,,"14",,,1957.80517578125,,"1","00000027",12962.3943033562,7922956.65940349
"10657","1969",CA,CDF,FKU,CAPITAL CANYON,"00000000",1969/06/05 00:00:00,,"14",,,2174.72924804688,,"1","00000038",15944.9410207879,8800817.37839846
"10658","1969",CA,CDF,FKU,FORBES,"00000000",1969/05/25 00:00:00,,"14",,,227.470413208008,,"1","00000024",4448.31855585921,920540.107060252
"10659","1969",CA,USF,CNF, ,"00000000",,,"9",,,42.8373527526855,,"1","00000072",2242.52422662873,173356.612337221
"10660","1969",CA,USF,CNF, ,"00000000",,,"14",,,668.900207519531,,"1","00000070",9176.48830457546,2706943.16222637
"10661","1969",CA,USF,BDF, ,"00000000",,,"14",,,119.526565551758,,"1","00000000",4051.90513308784,483706.840957325
