OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,Shape_Length,Shape_Area
"3787","1990",CA,CDF,RRU,000000RRU-020401,SANTA ROSA 4,,1990/06/06 00:00:00,,0,408.811065673828,,,,7030.31208903501,1654399.69423645
"3788","1990",CA,USF,CNF,"0000000000000000",RATTLESNAKE,,,,0,297.989044189453,,,,8321.43001542791,1205918.90185488
"3789","1990",CA,USF,CNF,"0000000000000000",WESTFORK CHAPARRAL,,,,0,573.954956054688,,,,11731.3744374719,2322713.31367903
"3790","1990",CA,CDF,RRU,"0000000000000000",DECKER CANYON,,1990/06/30 00:00:00,,0,117.026054382324,,,,6572.52442362468,473587.644062664
"3791","1990",CA,USF,CNF,"0000000000000000",PRESCRIBED FIRE,,1990/06/19 00:00:00,,0,656.482604980469,,,,19858.4840678575,2656690.7651122
"3792","1990",CA,CDF,RRU,"0000000000000000",WESTRIDGE,,1990/06/30 00:00:00,,0,30.9098777770996,,,,3406.89967008787,125087.837967122
"3793","1990",CA,CDF,MEU,"0000000000000000",HOPLAND VMP,,1990/03/27 00:00:00,,0,5836.9765625,,,,27539.1636725931,23621406.1776156
"3794","1990",CA,CDF,SKU,00000RX2-006-SKU,PORTERFIELD #1,,1990/10/09 00:00:00,,0,891.668762207031,,,,11869.7740423096,3608455.37577535
"3795","1990",CA,CDF,BDU,"0000009700000000",WILSON CREEK,,,,0,247.133666992188,,,,4087.73171057669,1000114.47402003
"3796","1990",CA,CCO,KRN,0000RX-4-004-KRN,TWEEDY,,1990/02/23 00:00:00,,0,1691.48559570312,,,,10417.8136867319,6845199.2147628
"3797","1990",CA,CDF,TCU,00000004-002-TCU,ROSASCO #6,,1990/10/02 00:00:00,,0,1132.92724609375,,,,14984.4612612751,4584793.7836579
"3798","1990",CA,CDF,TCU,00000004-003-TCU,DEMER,,1990/02/26 00:00:00,,0,584.544860839844,,,,6946.45497016138,2365569.13262501
"3799","1990",CA,CDF,AEU,000000000004-002,HOWARD (UNIT 1),,1990/06/12 00:00:00,,0,580.214721679688,,,,7722.48778379059,2348045.61057913
"3800","1990",CA,CDF,AEU,00000004-017-AEU,EAGLES NEST,,1990/11/16 00:00:00,,0,277.786895751953,,,,4975.75590463357,1124163.6419377
"3801","1990",CA,CDF,AEU,00000004-015-AEU,FRENCH CREEK (UNIT1),,1990/06/23 00:00:00,,0,20.4236125946045,,,,1568.25567797868,82651.4274335549
"3802","1990",CA,CDF,AEU,00000004-015-AEU,FRENCH CREEK (UNIT2),,1990/06/23 00:00:00,,0,71.3550796508789,,,,2477.55847697747,288763.776938175
"3803","1990",CA,CDF,LMU,"0000000000000000",BIG VALLEY MTN. VMP,,1990/09/27 00:00:00,,0,56.962890625,,,,2128.84368939589,230520.632389005
"3804","1990",CA,CDF,LMU,"0000000000000000",BIG VALLEY MTN. VMP,,1990/09/27 00:00:00,,0,41.236026763916,,,,2064.95272351211,166876.285556282
"3805","1990",CA,CDF,LMU,"0000000000000000",BIG VALLEY MTN. VMP,,1990/09/27 00:00:00,,0,86.3748092651367,,,,3103.59433824661,349546.450101434
"3806","1990",CA,CDF,LMU,"0000000000000000",CANYON CREEK RANCH,,1990/10/03 00:00:00,,0,430.0693359375,,,,7271.57480916049,1740428.88088573
"3807","1990",CA,CDF,LMU,000000000RX2-011,COTTONWOOD CREEK VMP,,1990/10/24 00:00:00,,0,177.331008911133,,,,5323.88478149371,717633.11525383
"3808","1990",CA,CDF,LMU,00000RX2-003-LMU,HC RANCH UNIT #1,,1990/04/12 00:00:00,,0,187.416580200195,,,,3789.69595595522,758448.006892906
"3809","1990",CA,CDF,LMU,00000RX2-003-LMU,HC RANCH UNIT #2,,1990/04/12 00:00:00,,0,180.70686340332,,,,5425.23556914025,731294.722524277
"3810","1990",CA,CDF,LMU,00000RX2-003-LMU,HC RANCH UNIT #3,,1990/04/12 00:00:00,,0,183.53645324707,,,,5053.12209419527,742745.68261502
"3811","1990",CA,CDF,LMU,00000RX2-003-LMU,HC RANCH UNIT #4,,1990/04/12 00:00:00,,0,73.6546630859375,,,,3277.86765433173,298069.833898457
"3812","1990",CA,CDF,LMU,"0000000000000000",MEEKS CANYON VMP #A,,1990/09/29 00:00:00,,0,527.100402832031,,,,7663.26583120737,2133099.60249126
"3813","1990",CA,CDF,LMU,"0000000000000000",MEEKS CANYON VMP #B,,1990/09/29 00:00:00,,0,340.637023925781,,,,5766.91642555016,1378509.14619183
"3814","1990",CA,CDF,LMU,"0000000000000000",MEEKS CANYON VMP #C,,1990/09/29 00:00:00,,0,1379.10778808594,,,,10821.7327188251,5581051.21110778
"3815","1990",CA,NPS,YNP,000000000YNP-178, ,,,,0,9.06493091583252,,,,886.677918096714,36684.473635335
"3816","1991",CA,CDF,RRU,000000RRU-023963,SUNSET,,1991/07/19 00:00:00,,0,56.3395652770996,,,,1949.64719585905,227998.132094102
"3817","1991",CA,USF,CNF,"0000000000000000",BODEN CANYON,,,,0,1550.47839355469,,,,14676.3300015214,6274563.21087422
"3818","1991",CA,CDF,TGU,000000002-13-TGU,GIOVANETTI,,1991/01/01 00:00:00,,0,209.408142089844,,,,5374.2135529189,847444.687027493
"3819","1991",CA,CCO,LAC,"0000000000000000",PRESCRIBED FIRE,,,,0,116.578788757324,,,,12849.3315157793,471777.609386477
"3820","1991",CA,CDF,LMU,00000RX2-012-LMU,BEATY #4,,1991/10/22 00:00:00,,809,809.7958984375,"4",,,7599.10557380418,3277127.713325
"3821","1991",CA,CDF,LMU,00000RX2-013-LMU,BEATY #5,,1991/10/22 00:00:00,,2412,2412.33520507812,"4",,,16463.2189252568,9762373.85663553
"3822","1991",CA,CDF,LMU,"0000000000000000",DEADHORSE,,,,0,95.1363372802734,,,,3019.43370251298,385003.105982701
"3823","1991",CA,CDF,LMU,"0000000000000000",DEADHORSE RES. #A,,,,0,453.917999267578,,,,6020.66124078028,1836940.99134399
"3824","1991",CA,CDF,LMU,"0000000000000000",DEADHORSE RES. #C,,,,0,380.325408935547,,,,7004.54710328208,1539122.34955341
"3825","1991",CA,CDF,LMU,"0000000000000000",DEADHORSE RES. #D,,,,0,491.842590332031,,,,6206.63602381876,1990416.29208907
"3826","2001",CA,CCO,LAC,"0000000000003052",LA CANADA FLINTRIDGE BURN,,2001/11/28 00:00:00,,0,40.603759765625,,,,2184.83787508871,164317.592062184
"3827","2001",CA,NPS,YNP,"0000139800000000",SPRING,,2001/06/25 00:00:00,,0,8.19305896759033,,,,1030.20156750881,33156.1334071957
"3828","2001",CA,NPS,YNP,"0000340800000000",EAST BUTTRESS,,2001/11/09 00:00:00,,0,11.4433336257935,,,,949.115791663998,46309.5288898275
"3829","2001",CA,CDF,MEU,00000RX1-072-MEU,LEDSON VMP,,2001/05/09 00:00:00,,0,480.656127929688,,,,8808.49649639656,1945146.35889002
"3830","2001",CA,CDF,MVU,"0000191000000000",TIERRA DEL SOL,,2001/04/03 00:00:00,,0,423.393829345703,,,,10508.6803566586,1713414.02358899
"3831","1999",CA,CCO,MRN,00000RX1-042-MRN,KNOB VMP,,1999/07/23 00:00:00,,0,84.6285705566406,,,,2417.20769432319,342479.688874222
"3832","1999",CA,CCO,MRN,00000RX1-042-MRN,DEER PARK VMP,,1999/07/17 00:00:00,,0,27.1899662017822,,,,1479.15406564765,110033.890152477
"3833","2000",CA,CCO,MRN,00000RX1-042-MRN,FAIRFAX GRADE VMP,,2000/10/16 00:00:00,,0,25.9824142456055,,,,2042.89845047511,105147.099843745
"3834","2001",CA,CCO,MRN,00000RX1-047-MRN,SHANKEY,,2001/10/22 00:00:00,,0,57.947380065918,,,,3169.77293681196,234504.723014176
"3835","2001",CA,CCO,MRN,00000RX1-044-MRN,KNOB II,,2001/09/18 00:00:00,,0,111.709297180176,,,,3165.97269901832,452071.47594517
"3836","2001",CA,CCO,MRN,00000RX1-044-MRN,PINE POINT,,2001/10/10 00:00:00,,0,45.2422142028809,,,,2021.65875819126,183088.741839439
"3837","2001",CA,CCO,MRN,00000RX1-044-MRN,PUMPKIN,,2001/10/17 00:00:00,,0,62.4582977294922,,,,2481.52468970766,252759.770121143
